Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,Rim Rank,Rim,Short Mid Rank,Short Mid,Long Mid Rank,Long Mid,All Mid Rank,All Mid,Corner Three Rank,Corner Three,Non Corner Rank,Non Corner,All Three Rank,All Three
Precious Achiuwa,22.1,TOR,Big,1693,7,48.6%,35,43%,74,27%,62,5%,71,32%,77,11%,51,14%,55,24%
Steven Adams,28.3,MEM,Big,1997,42,55.1%,85,78%,60,22%,11,0%,39,22%,0,0%,0,0%,0,0%
Bam Adebayo,24.3,MIA,Big,1822,46,55.9%,51,50%,95,37%,89,13%,96,50%,0,0%,19,0%,16,0%
Santi Aldama,20.8,MEM,Big,243,2,42.8%,44,47%,46,19%,19,1%,34,20%,75,10%,69,22%,72,33%
LaMarcus Aldridge,36.3,BKN,Big,1047,50,56.6%,7,25%,75,28%,100,38%,100,66%,45,3%,36,6%,37,9%
Nickeil Alexander-Walker,23.2,UTA,Wing,112,25,48.6%,52,26%,18,8%,22,3%,15,11%,92,32%,50,32%,73,63%
Nickeil Alexander-Walker,23.2,NOP,Combo,1298,25,45.7%,70,31%,26,15%,50,9%,27,24%,65,11%,53,34%,57,45%
Grayson Allen,26.1,MIL,Wing,1786,88,58.5%,36,20%,34,11%,23,3%,22,14%,54,18%,87,48%,79,66%
Jarrett Allen,23.5,CLE,Big,1802,93,67.8%,81,72%,63,23%,51,4%,54,27%,31,1%,19,0%,18,1%
Jose Alvarado,23.6,NOP,Point,731,62,51.2%,74,32%,72,27%,26,7%,52,34%,70,9%,30,25%,38,34%
Justin Anderson,28.0,IND,Forward,260,4,42.4%,20,20%,18,10%,74,11%,51,21%,73,20%,77,38%,77,58%
Kyle Anderson,28.1,MEM,Forward,1458,22,48.4%,63,34%,98,36%,66,8%,91,43%,21,9%,13,13%,10,22%
Giannis Antetokounmpo,26.9,MIL,Big,2189,65,58.7%,58,53%,58,22%,85,11%,70,32%,25,0%,54,15%,44,15%
Thanasis Antetokounmpo,29.3,MIL,Big,359,62,58.2%,90,81%,8,9%,41,3%,11,12%,49,4%,31,4%,33,7%
Carmelo Anthony,37.4,LAL,Big,1784,39,54.7%,2,15%,25,14%,95,19%,72,33%,76,10%,96,42%,93,52%
Cole Anthony,21.5,ORL,Point,2044,24,46.9%,48,24%,54,23%,64,13%,58,36%,34,4%,64,36%,58,40%
OG Anunoby,24.3,TOR,Wing,1722,44,52.5%,74,33%,50,14%,63,10%,50,24%,44,14%,44,29%,38,43%
Trevor Ariza,36.3,LAL,Forward,453,5,42.8%,30,25%,0,4%,0,0%,0,4%,93,28%,85,44%,94,71%
D.J. Augustin,34.0,LAL,Combo,357,97,63.4%,11,12%,8,8%,5,2%,2,11%,100,30%,84,47%,97,77%
D.J. Augustin,34.0,HOU,Point,507,88,55.2%,36,21%,0,6%,16,4%,0,11%,82,11%,100,57%,98,68%
Deni Avdija,20.8,WAS,Forward,1910,36,50.6%,62,34%,80,19%,47,5%,59,25%,31,11%,59,30%,45,41%
Deandre Ayton,23.3,PHX,Big,1708,86,64.0%,32,42%,98,44%,86,11%,99,55%,0,0%,28,2%,22,2%
Udoka Azubuike,22.1,UTA,Big,155,98,70.6%,96,89%,16,11%,0,0%,9,11%,0,0%,0,0%,0,0%
Marvin Bagley,22.6,DET,Big,488,59,57.8%,54,51%,85,31%,30,2%,73,33%,53,4%,48,11%,45,15%
Marvin Bagley,22.6,SAC,Big,650,9,49.4%,24,39%,89,33%,52,4%,82,37%,89,15%,45,9%,54,24%
LaMelo Ball,20.2,CHA,Point,2403,74,52.4%,56,28%,44,20%,34,9%,36,29%,62,7%,60,35%,66,43%
Lonzo Ball,24.0,CHI,Point,1204,96,56.6%,18,17%,4,8%,30,9%,2,17%,96,16%,90,50%,92,66%
Mohamed Bamba,23.5,ORL,Big,1795,48,56.1%,20,36%,23,14%,75,7%,35,21%,84,12%,88,32%,89,44%
Desmond Bane,23.4,MEM,Wing,2262,81,57.0%,38,20%,72,20%,84,14%,78,34%,27,9%,61,37%,44,46%
Dalano Banton,22.0,TOR,Combo,626,16,44.0%,96,46%,63,22%,43,8%,48,30%,30,7%,13,17%,9,24%
Harrison Barnes,29.4,SAC,Forward,2581,79,55.5%,73,37%,86,24%,18,2%,65,26%,36,12%,40,25%,34,37%
Scottie Barnes,20.3,TOR,Forward,2603,47,52.5%,68,36%,94,33%,81,13%,94,46%,10,6%,11,12%,6,19%
RJ Barrett,21.4,NYK,Wing,2407,12,46.7%,83,41%,83,23%,36,5%,65,29%,20,8%,20,22%,11,30%
Will Barton,30.8,DEN,Wing,2272,47,52.7%,55,27%,64,17%,66,10%,63,28%,31,11%,60,35%,40,45%
Charles Bassey,21.0,PHI,Big,124,96,69.0%,80,71%,40,18%,66,6%,41,24%,46,3%,29,3%,30,6%
Keita Bates-Diop,25.8,SAS,Big,911,38,54.6%,69,61%,35,16%,60,5%,36,21%,68,9%,44,8%,48,17%
Nicolas Batum,32.9,LAC,Forward,1457,97,60.7%,12,15%,9,7%,69,10%,29,17%,79,23%,91,46%,93,69%
