Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,2P% Rank,2P%,3P% Rank,3P%,FT% Rank,FT%,ASTD% All Rank,ASTD% All,ASTD% Rim Rank,ASTD% Rim,ASTD% Mid Rank,ASTD% Mid,ASTD% Three Rank,ASTD% Three
Precious Achiuwa,22.1,TOR,Big,1693,7,48.6%,7,46.9%,61,35.5%,11,60.0%,75,67%,66,63%,83,53%,76,96%
Steven Adams,28.3,MEM,Big,1997,42,55.1%,34,55.0%,0,,8,54.3%,98,49%,97,46%,66,64%,0,
Bam Adebayo,24.3,MIA,Big,1822,46,55.9%,42,56.1%,0,0.0%,60,75.2%,89,61%,56,66%,82,54%,0,
Santi Aldama,20.8,MEM,Big,243,2,42.8%,49,57.4%,0,10.3%,0,62.5%,62,71%,73,60%,1,100%,24,100%
LaMarcus Aldridge,36.3,BKN,Big,1047,50,56.6%,50,57.6%,31,31.1%,98,87.3%,44,76%,76,59%,34,82%,24,100%
Nickeil Alexander-Walker,23.2,UTA,Wing,112,25,48.6%,8,41.7%,36,34.8%,0,90.0%,75,62%,98,0%,61,50%,69,88%
Nickeil Alexander-Walker,23.2,NOP,Combo,1298,25,45.7%,30,43.7%,28,31.8%,15,72.2%,38,60%,45,44%,48,34%,31,89%
Grayson Allen,26.1,MIL,Wing,1786,88,58.5%,60,52.8%,85,40.7%,81,86.5%,33,82%,31,69%,44,60%,57,91%
Jarrett Allen,23.5,CLE,Big,1802,93,67.8%,94,68.7%,0,10.0%,40,70.8%,54,73%,29,73%,48,74%,100,0%
Jose Alvarado,23.6,NOP,Point,731,62,51.2%,98,54.8%,13,29.5%,8,68.2%,38,46%,38,33%,22,29%,6,96%
Justin Anderson,28.0,IND,Forward,260,4,42.4%,60,54.5%,7,23.1%,0,80.0%,49,73%,11,78%,74,44%,67,92%
Kyle Anderson,28.1,MEM,Forward,1458,22,48.4%,21,47.9%,38,33.3%,10,63.1%,83,60%,80,51%,63,55%,36,97%
Giannis Antetokounmpo,26.9,MIL,Big,2189,65,58.7%,71,61.7%,26,30.0%,45,72.0%,99,43%,95,49%,96,29%,99,41%
Thanasis Antetokounmpo,29.3,MIL,Big,359,62,58.2%,62,60.0%,0,25.0%,14,60.7%,74,68%,51,67%,1,100%,99,50%
Carmelo Anthony,37.4,LAL,Big,1784,39,54.7%,18,52.3%,79,37.8%,89,83.0%,71,69%,79,57%,92,44%,86,92%
Cole Anthony,21.5,ORL,Point,2044,24,46.9%,22,43.4%,47,34.1%,69,85.2%,56,40%,38,33%,64,17%,54,66%
